strain	description	source	location	cluster	adk	ccpA	glpF	glpT	panC	pta	pycA	ST
Pasteur	B.anthracis Pasteur	Animal, cat [pXO1-/pXO2+]		clusterIII	24	36	35	18	32	32	33	1
Pasteur_Standard	B.thuringiensis tolworthi Pasteur Institute Standard strain (Pasteur_Standard)			clusterIV	3	13	69	13	107	12	12	237
Pollino	B.anthracis Pollino	Animal, cattle (bovine) carcass (2014) [from a bovine anthrax-burial site; pXO1+/pXO2+]	Italy, Pollino National Park, Basilicata	clusterIII	24	36	35	18	32	32	33	1
S2-8	B.cereus S2-8 (FRI42)	Soil (1993) [University of Wisconsin-Madison]	USA, Wisconsin, Madison	clusterIII	33	35	37	44	40	32	17	124
Sbt003	B.thuringiensis Sbt003	Soil (2010)	China, Hubei	clusterIV	3	76	69	73	11	12	58	149
Schrouff	B.c_group Schrouff	Food		clusterIV	34	39	1	23	36	35	23	226
Sen2Col2	B.anthracis Sen2Col2		Senegal	clusterIII	24	36	35	18	32	32	33	1
Sen3	B.anthracis Sen3		Senegal	clusterIII	24	36	35	18	32	32	33	1
Shikan-NIID	B.anthracis Shikan-NIID	Animal, horse (1928)	Japan, Tokyo	clusterIII	24	36	35	18	32	32	33	1
SK-102	B.anthracis SK-102	Other, Wool from Pakistan (1976) [pXO1+/pXO2+]	USA, New Jersey	clusterIII	24	36	35	18	32	32	33	1
Smith1013	B.anthracis Smith 1013 (Pasteur-like)	[pXO1-/pXO2+]		clusterIII	24	36	35	18	32	32	33	1
Sterne	B.anthracis Sterne		USA	clusterIII	24	36	35	18	32	32	33	1
SVA11	B.anthracis SVA11	Animal, cattle (2011) [from an outbreak in cattle that occurred in a Swedish nature reserve; pXO1+/pXO2+]	Sweden	clusterIII	24	36	42	18	32	32	33	60
T01-328	B.thuringiensis T01-328	Soil (1994)	Brazil, Cubatao county, Sao Paulo	clusterIV	1	67	1	1	1	1	1	44
TIAC219	B.c_group TIAC219	Food		clusterIV	34	11	1	23	36	35	46	75
tsu1	B.cereus tsu1	Other, contaminated cellulose-agar plate (2009)	USA, Tennessee, Nashville	clusterIV	3	4	4	62	3	3	3	238
Turkey32	B.anthracis Turkey32	Human, skin (1991) [pXO1+/pXO2+]	Turkey, Yozgat	clusterIII	24	36	35	18	32	32	33	1
UR-1	B.anthracis UR-1	Human, blood (2012) [from a german heroin user; fatal case of injectional anthrax; pXO1+/pXO2+]	Germany, Bavaria	clusterIII	24	36	35	18	32	32	33	1
VD014	B.c_group VD014	Soil	Spain	clusterIV	3	69	107	110	69	100	67	239
VD021	B.c_group VD021	Other, Water from a small pond site	Belgium	clusterVI	77	20	7	19	108	93	7	240
VD022	B.c_group VD022	Other, Water from a small pond site	Belgium	clusterIV	34	11	1	23	36	35	46	75
VD045	B.c_group VD045	Soil	Greenland	clusterIV	3	13	69	13	107	12	12	237
VD048	B.c_group VD048	Soil	Greenland	clusterVI	5	20	19	29	18	18	19	24
VD078	B.c_group VD078	Soil	Greenland	clusterVI	53	20	7	19	23	6	19	241
VD102	B.c_group VD102	Soil	Guadeloupe	clusterIII	10	35	73	35	41	13	52	242
VD107	B.c_group VD107	Soil	Guadeloupe	unclustered	78	98	108	111	109	101	98	243
VD115	B.c_group VD115	Soil	Guadeloupe	clusterV	6	99	109	112	110	102	99	244
VD118	B.c_group VD118	Soil	Guadeloupe	clusterVI	16	21	110	113	111	103	20	245
VD131	B.c_group VD131	Soil	Martinique	clusterV	79	9	88	9	77	7	100	246
VD133	B.c_group VD133	Soil	Martinique	clusterIV	13	4	56	33	15	16	64	247
VD136	B.c_group VD136	Soil	UK, Scotland	clusterI	80	100	111	0	112	104	101	-14
VD140	B.c_group VD140	Soil	UK, Scotland	clusterIV	3	4	57	4	56	105	56	248
VD142	B.c_group VD142	Soil	UK, Scotland	clusterVI	15	101	112	19	17	106	91	249
VD146	B.c_group VD146	Soil	UK, Scotland	clusterVI	81	20	7	97	23	6	19	250
VD148	B.c_group VD148	Soil	UK, Scotland	clusterV	6	9	8	9	7	7	8	52
VD154	B.c_group VD154	Soil	UAE, Abu Dhabi	clusterIV	3	76	69	73	11	12	58	149
VD156	B.c_group VD156	Soil	UAE, Abu Dhabi	clusterIV	3	69	107	64	69	65	67	251
VD166	B.c_group VD166	Soil	UAE, Dubai	clusterIV	3	13	12	13	113	107	12	252
VD169	B.c_group VD169	Soil	UAE, Dubai	clusterIV	3	13	12	13	11	108	12	253
VD184	B.cereus VD184			clusterIV	3	6	6	38	65	5	5	254
VD196	B.c_group VD196	Soil	UAE, Dubai	clusterIV	3	13	59	13	11	109	12	255
VD200	B.c_group VD200	Other, Water	UK, Scotland	clusterIV	3	13	113	38	11	12	12	256
VD214	B.c_group VD214	Other, Water	UK, Scotland	clusterV	6	9	8	9	7	7	8	52
VDM006	B.c_group VDM006	Soil	Spain	clusterI	80	100	111	0	112	104	101	-14
VDM019	B.c_group VDM019	Soil	Greenland	clusterVI	53	20	27	114	23	18	19	257
VDM021	B.c_group VDM021	Soil	Greenland	clusterI	80	100	111	0	112	104	101	-14
VDM022	B.c_group VDM022	Soil	Greenland	clusterVI	82	102	7	19	23	18	19	258
VDM034	B.c_group VDM034	Soil	Spain	clusterVI	53	101	26	19	23	18	102	259
VDM053	B.c_group VDM053	Other, Water from a small pond site	Belgium	unclustered	9	12	114	12	10	110	49	260
VDM062	B.c_group VDM062	Soil	UK, Scotland	clusterVI	53	101	26	19	23	18	102	259
Vollum1B	B.anthracis Vollum 1B	Human (1951) [weaponized Vollum substrain used in American warheads during the 1960-s; pXO1+/pXO2+]	USA	clusterIII	24	36	35	18	32	32	33	1
XL6	B.thuringiensis XL6	Soil (2006)	China, Inner Mongolia	clusterIII	11	70	14	55	50	38	14	130
YBT-1518	B.thuringiensis YBT-1518	Soil	China, Jianghan Plain, Hubei	clusterIV	1	67	1	115	114	111	1	261
YC-10	B.thuringiensis YC-10 (CCTCC M2010023)	Plant, tobacco roots (2010)	China, Hunan Province	clusterIV	13	4	56	33	3	61	64	115
Zimbabwe89	B.anthracis Zimbabwe89		Zimbabwe	clusterIII	24	36	42	18	32	32	33	60
